name,display,manufactor,needed,forbidden,highscore
Fire Action,Fire Action,Taito 1980,,,
Fire Action De Luxe,Fire Action De Luxe,Taito 1983,,,
Fire Queen,Fire Queen,Gottlieb 1977,,,
Fire!,Fire!,Williams 1987,"fire,williams,1987","fireball,action,power,potter,ready,solar,queen",
Fireball,Fireball,Bally 1972,fireball,"2023,1981",
Fireball 2,Fireball 2,Bally 1981,fireball,"2023,1972",
FireballXL5,Fireball XL 5,Original 2023,,"1981,1972",
Firecracker,Firecracker,Bally 1971,,,Firecracker_71VPX.txt
Firepower,Firepower,Williams 1980,firepower,"1983,a.i.",
Firepower II,Firepower II,Williams 1983,"firepower,1983",1980,
FirePower Vs AI,FirePower Vs A.I.,Williams 1980,"firepower,a.i.",1983,
FirePower Vs AI,FirePower Vs AI,Williams 1980,"firepower,ai",1983,
Fish Tales,Fish Tales,Williams 1992,,,
Five Nights at Freddy,Five Nights at Freddy's,Original 2021,,,
FJ,FJ,Hankin 1978,"FJ,Hankin,1978",,
Flash,The Flash,Original 2018,"flash,the","gordon,flashman",
Flash,Flash,Williams 1979,flash,"gordon,the,flashman",
Flash Gordon,Flash Gordon,Bally 1981,,,
Flashman,Flashman,Sportmatic 1984,,,
Fleetwood Mac,Fleetwood Mac,Original 2025,,,
Flicker,Flicker,Bally 1974,"Flicker,Bally,1974",,Flicker_1974_v2.txt
Flight 2000,Flight 2000,Stern 1980,,,
Flintstones,The Flintstones,Williams 1994,Flintstones,custom,
Flintstones Mod,The Flintstones Mod,Williams 1994,"Flintstones,custom",,
Flip a Card,Flip a Card,Gottlieb 1970,"Flip,a,Card,Gottlieb,1970",,FlipACard_70VPX.txt
Flip Flop,Flip Flop,Bally 1976,,,FlipFlop.txt
Flipper Fair,Flipper Fair,Gottlieb 1961,"Flipper,Fair,Gottlieb,1961",,FlipperFair_61VPX.txt
Flipper Football,Flipper Football,Capcom 1996,,,
Flipper Pool,Flipper Pool,Gottlieb 1965,"Flipper,Pool,Gottlieb,1965",,FlipperPool_65VPX.txt
Flying Carpet,Flying Carpet,Gottlieb 1972,"Flying,Carpet,Gottlieb,1972",,
Flying Chariots,Flying Chariots,Gottlieb 1963,,,FlyingChariots_63VPX.txt
Flying Turns,Flying Turns,Midway 1964,,,
Fog,The Fog,Original 2020,"The,Fog,Original,2020",,The_Fog_1979.txt
Foo Fighters,JPs Foo Fighters,Original 2025,"Foo,Fighters,Original,2020",,
Football,Football,Taito do Brasil 1979,"Football,Taito,do,Brasil,1979",,
Force,Force,LTD 1980,"Force,LTD,1980",,
Force II,Force II,Gottlieb 1981,,,
Four Million BC,Four Million B.C.,Bally 1971,"Four,Million,Bally,1971",,Four Million BC Bally 1971 v2.txt
Four Seasons,Four Seasons,Gottlieb 1968,"Four,Seasons,Gottlieb,1968",,FourSeasons_68VPX.txt
Frank Thomas' Big Hurt,Frank Thomas' Big Hurt,Gottlieb 1995,"Frank,Thomas,Big,Hurt,Gottlieb,1995",,
"Freddy, A Nightmare on Elmstreet",Freddy - A Nightmare on Elm Street,Gottlieb 1994,"freddy,nightmare",original,
Freddy's Nightmares,Freddy's Nightmares,Original 2025,"freddy,nightmares",,
Free Fall,Free Fall,Gottlieb 1974,"Free,Fall,Gottlieb,1974",,
Freedom,Freedom,Bally 1976,"Freedom,Bally,1976",,Freedom_76VPX.txt
Freefall,Freefall,Stern 1981,,,
Friday the 13th,JP's Friday the 13th,Original 2021,"Friday,13th",,
Frontier,Frontier,Bally 1980,,,
From Dusk Till Dawn,From Dusk Till Dawn,Original 2022,,,
Frozen,Frozen,Original 2016,,,
Full,Full,Recreativos Franco 1977,"Full,Recreativos,Franco,1977",,Full_77VPX.txt
Full House,Full House,Williams 1966,"Full House,Williams,1966",,
Fun Fair,Fun Fair,Gottlieb 1968,"Fun,Fair,Gottlieb,1968",,
Fun Land,Fun Land,Gottlieb 1968,"Fun,Land,Gottlieb,1968",,FunLand_68VPX.txt
Fun Park,Fun Park,Gottlieb 1968,"Fun,Park,Gottlieb,1968",,
Fun-Fest,Fun-Fest,Williams 1973,"Fun-Fest,Williams,1973",,
FunHouse,FunHouse,Williams 1990,,,
Futurama,Futurama,Original 2024,,,
Future Spa,Future Spa,Bally 1979,,,
Galaxia,Galáxia,LTD 1975,"Galaxia,LTD,1975",,LTDGalaxia.txt
Galaxie,Galaxie,Gottlieb 1971,"Galaxie,Gottlieb,1971",,
Galaxy,Galaxie,Gottlieb 1971,,"stern,gotg,guardians,quest,sega,space",
Galaxy,Galaxy,Stern 1980,,"gottlieb,gotg,guardians,quest,sega,space",
Galaxy,Galaxy,Sega 1973,,"stern,gottlieb,gotg,guardians,quest,space",
Galaxy play,Galaxy play,CIC Play 1986,,,
Galaxy Quest,Galaxy Quest,original,,,
Gamatron,Gamatron,Sonic 1986,,,
Game of Thrones,Game of Thrones,Original 2021,,,
Games,The Games,Gottlieb 1984,"games,gottlieb",,
Gargamel park,Gargamel park,Original 2016,,,
Gaucho,Gaucho,Gottlieb 1963,"Gaucho,Gottlieb,1963",,Gaucho_63VPX.txt
Gay 90s,Gay 90's,Williams 1970,"Gay,90,Williams,1970",,
Gemini,Gemini,Gottlieb 1978,"Gemini,Gottlieb,1978",,
Gemini 2000,Gemini 2000,Taito 1982,,,
Genesis,Genesis,Gottlieb 1986,,,
Genie,Genie,Gottlieb 1979,,,
Getaway High Speed II,The Getaway: High Speed II,Williams 1992,getaway,,
Get Smart,Get Smart,Original 2021,,,
Ghostbusters,Ghostbusters,Stern 2016,,"MOD,slimer,premium",
Ghostbusters Art MOD,Ghostbusters Art MOD,Original 2020,"Ghostbusters,MOD","slimer,premium",
Ghostbusters Premium,Ghostbusters Premium,Stern 2016,,,
Ghostbusters Slimer,JP's Ghostbusters Slimer,Original 2016,"ghostbusters,slimer",,
Ghosts 'N Goblins,Ghosts 'N Goblins,Original 2018,,,
Giana Sisters,Giana Sisters,Original 2018,,,
Gigi,Gigi,Gottlieb 1963,"Gigi,Gottlieb,1963",,Gigi_63VPX.txt
GIJoe Real American Hero,G.I. Joe - A Real American Hero,Original 2017,"real,american,hero",,
Gilligan's Island,Gilligan's Island,Bally 1991,"gilligan,island",,
Gladiators,Gladiators,Gottlieb 1993,,,
Godzilla,Godzilla,Sega 1998,"godzilla,sega","stern,mash",
Godzilla,Godzilla Mash-up,Sega-Stern 2022,"godzilla,mash,up",,
Godzilla,Godzilla: King of Monsters,Stern 2021,"godzilla,stern","sega,mash",
Goin Nuts,Goin' Nuts,Gottlieb 1983,,,
Gold Ball,Gold Ball,Bally 1983,"gold,ball,1983",Goldchicco,
Gold Mine,Gold Mine,Williams 1988,"Gold,Mine,Williams,1988",,
Gold Rush,Gold Rush,Williams 1971,,,
Gold Strike,Gold Strike,Gottlieb 1975,"Gold,Strike,Gottlieb,1975",,
Gold Wings,Gold Wings,Gottlieb 1986,,,
Golden Arrow,Golden Arrow,Gottlieb 1977,,,
Golden Axe,Golden Axe,Original 2018,,,
Golden Cue,Golden Cue,Sega 1998,,,
Goldeneye,Goldeneye,Sega 1996,"golden,eye",,
Goldorak,Goldorak,Original 2017,,,
Goonies,Goonies,Original 2019,"Goonies,Original,2019",Adventure,
Goonies - Pinball Adventure,The Goonies Pinball Adventure,Original 2019,"Goonies,Pinball,Adventure",,
Goonies Never Say Die Pinball,The Goonies: Never Say Die Pinball!,Original 2021,,,
Gorgar,Gorgar,Williams 1979,,,
GORILLAZ,GORILLAZ,Original 2024,,,
Gork,Gork,Taito 1983,,,
Grande Domino,Gran Domino,Gottlieb 1967,"Gran,Domino,Gottlieb,1967",,
Grand Lizard,Grand Lizard,Williams 1986,,,
Grand Prix,Grand Prix,Williams 1976,"Grand,Prix,Williams,1976",,
Grand Prix,Grand Prix,Stern 2005,"Grand,Prix,Stern,2005",,GrandPrix_76VPX.txt
Grand Slam,Grand Slam,Gottlieb 1972,,,GrandSlam_72VPX.txt
Grand Tour,Grand Tour,Bally 1964,"Grand,Tour,Bally,1964",,GrandTour_1964_v2.txt
Granny and the Gators,Granny and the Gators,Bally 1984,"Granny,and,the,Gators,Bally,1984",,
Grease,Grease,Original 2023,"grease,original",,
Great Houdini,The Great Houdini,Original 2022,"the,great,houdini",,
Gremlins,Gremlins,Original 2019,,,
Gridiron,Gridiron,Gottlieb 1977,,,Gridiron_77VPX_2.txt
Grinch,The Grinch,Original 2022,"Grinch,Original,2022",,TheGrinch.txt
Groovy,Groovy,Gottlieb 1970,"Groovy,Gottlieb,1970",,
Guardians Of The Galaxy,Guardians Of The Galaxy,Stern 2017,gotg,"guardians,galaxy",
Guardians Of The Galaxy,Guardians Of The Galaxy,Stern 2017,"guardians,galaxy",gotg,
Gulfstream,Gulfstream,Williams 1973,"Gulfstream,Williams,1973",,gulfStream_1973_v2.txt
Gun Men,Gun Men,Staal 1979,"gun,men,staal,1979",,
Guns N Roses,Guns N Roses,Data East 1994,,,
Gunship,Gunship,Original 2023,"gunship,original,2023",,
Hall and Oates,Hall and Oates,Original 2024,,,
Halley Comet,Halley Comet,Juegos Populares 1986,,Williams,
Halloween,Halloween 1978-1981,Original 2022,halloween,"meyers,adventure,clever",
Halloween Michael Myers Pinball Adventures,Halloween Michael Myers Pinball Adventures,Original 2018,,,
Hang Glider,Hang Glider,Bally 1976,,,HangGlider_76VPX.txt
Hank Williams Pinball,Hank Williams Pinball,Original 2022,,,
Hardbody,Hardbody,Bally 1987,,,
Harlem Globetrotters,Harlem Globetrotters,Bally 1979,,,
Harley Davidson,Harley Davidson,Bally 1991,,Sega,
Harley Davidson,Harley Davidson,Sega 1999,,Bally,
Harley Quinn,Harley Quinn,Original 2017,,,
Harmony,Harmony,Gottlieb 1967,"Harmony,Gottlieb,1967",,
Harry Potter - Goblet of Fire,Harry Potter - Goblet of Fire,Original 2020,"harry,potter",,
Hateful Eight,The Hateful Eight,Original 2021,,,
Haunted House,Haunted House,Gottlieb 1982,,,
Hawkman,Hawkman,Taito 1983,,,
Hearts and Spades,Hearts and Spades,Gottlieb 1969,"Hearts,and,Spades,Gottlieb,1969",,
Hearts Gain,Hearts Gain,Inder 1971,"Hearts,Gain,Inder,1971",,heartsgain.txt
Heat Wave,Heat Wave,Williams 1964,"Heat,Wave,Williams,1964",,HeatWave_1964_v2.txt
Heavy Metal,Heavy Metal,Rowamet 1981,"Heavy,Metal,Rowamet,1981",,
Heavy Metal Meltdown,Heavy Metal Meltdown,Bally 1987,,,
Hellboy Pinball,Hellboy Pinball,Original 2024,,,
Hellraiser,Hellraiser,Original 2022,,,
Hercules,Hercules,Atari 1979,,,
Hi Score Pool,Hi Score Pool,Chicago Coin 1971,,,
Hi-Deal,Hi-Deal,Bally 1975,"Hi-Deal,Bally,1975",,
Hi-Diver,Hi-Diver,Gottlieb 1959,"Hi-Diver,Gottlieb,1959",,hidiver.txt
Hi-Lo,Hi-Lo,Gottlieb 1969,"Hi-Lo,Gottlieb,1969",,
Hi-Lo Ace,Hi-Lo Ace,Bally 1973,"Hi-Lo,Ace,Bally,1973",,HiLoAce_73VPX.txt
Hi-Score,Hi-Score,Gottlieb 1967,Gottlieb 1967,,hi-score.txt
High Hand,High Hand,Gottlieb 1973,,,HighHand_73_2VPX.txt
High Roller Casino,High Roller Casino,Stern 2001,,,
High Seas,High Seas,Gottlieb 1976,"High,Seas,Gottlieb,1976",,
High Speed,High Speed,Williams 1986,"high,speed",getaway,
Hiphop,Hiphop,Original 2024,"Hiphop,original,2024",,
Hit the Deck,Hit the Deck,Gottlieb 1978,"Hit,the,Deck,Gottlieb,1978",,HitTheDeck_78VPX.txt
Hokus Pokus,Hokus Pokus,Bally 1976,"Hokus,Pokus,Bally,1976",,HokusPokus_76VPX.txt
Hollywood Heat,Hollywood Heat,Gottlieb 1986,,,
Home Alone,Home Alone,Original 2019,,,
Home Run,Home Run,Gottlieb 1971,"Home,Run,Gottlieb,1971",,
Honey,Honey,Williams 1971,"Honey,Williams,1971",,honeyVPX.txt
Hook,Hook,Data East 1992,,,
Hoops,Hoops,Gottlieb 1991,,,
Horrorburg,JP's Horrorburg,Original 2023,,,
Hot Ball,Hot Ball,Taito do Brasil 1979,"Hot,Ball,Taito,do,Brasil,1979",,
Hot Hand,Hot Hand,Stern 1979,"Hot,Hand,Stern,1979",,
Hot Line,Hot Line,Williams 1966,"Hot,Line,Williams,1966",,
Hot Rod,Hot Rod,Gottlieb 1977,"Hot,Rod,Gottlieb,1977",,
Hot Shot,Hot Shot,Gottlieb 1973,"Hot,Shot,Gottlieb,1973",,
Hot Tip,Hot Tip,Williams 1977,"Hot,Tip,Williams,1977",,
Hotdoggin,Hotdoggin,Bally 1980,Doggin,,
Houdini Master of Mystery,Houdini<br/>Master of Mystery,American Pinball 2017,houdini,"theatre,great",
House of Diamonds,House of Diamonds,Zaccaria 1978,"House,of,Diamonds,Zaccaria,1978",,
Humpty Dumpty,Humpty Dumpty,Gottleb 1947,,,
Hunter,Hunter,Jennings 1935,"Hunter,Jennings,1935",,JenningsHunter.txt
Hurricane,Hurricane,Williams 1991,,,
Hustler,Hustler,LTD 1980,"Hustler,LTD,1980",,
Hyperball,Hyperball,Williams 1981,"Hyperball,Williams,1981",,
I Dream of Jeannie,I Dream of Jeannie,Original 2019,,,
Ice Cold Beer,Ice Cold Beer,Tatto 1993,,,
Ice Fever,Ice Fever,Gottlieb 1985,,,
Impacto,Impacto,Recreativos Franco 1975,"Impacto,Recreativos,Franco,1975",,
Incredible Hulk,The Incredible Hulk,Gottlieb 1979,,,
Independence Day,Independence Day,Sega 1996,,,
Infected Mushroom Pinball,Infected Mushroom Pinball,Original 2025,,,
Indiana Jones,Indiana Jones,Stern 2008,,adventure,
Indiana Jones - The Pinball Adventure,Indiana Jones - The Pinball Adventure,Williams 1993,"indiana,jones,adventure",,
Indianapolis 500,Indianapolis 500,Bally 1995,indianapolis,,
Iron Maiden,Iron Maiden,Stern 1982,,"time,legacy",
Iron Maiden Legacy of the Beast,Iron Maiden - Legacy of the Beast,Original 2022,"Iron,Maiden,legacy",,
Iron Maiden Virtual Time,Iron Maiden - Virtual Time,Original 2020,"Iron,Maiden,time",,
Iron Man,Iron Man,Stern 2010,,,
Iron Mike Tyson,Iron Mike Tyson,Original 2024,,,
IT Pinball Madness,JP's IT - Pinball Madness,Original 2022,,,
Jack Daniel's,Jack Daniel's,Original 2020,"jack,daniel",,
Jack In The Box,Jack In The Box,Gottlieb 1973,"Jack,In,The,Box,Gottlieb,1973",,JackInTheBox_73_2VPX.txt
Jack-Bot,Jack-Bot,Williams 1995,"jack,bot",,
Jackpot,Jackpot,Williams 1971,"Jackpot,Williams,1971",,
Jacks to Open,Jacks to Open,Gottlieb 1984,"Jacks,Open,Gottlieb,1984",,
Jacks Open,Jacks Open,Gottlieb 1977,"Jacks,Open,Gottlieb,1977",,JacksOpen.txt
Jake Mate,Jake Mate,Petaco 1974,"Jake,Mate,Petaco,1974",,
James Bond 007,James Bond 007,Gottlieb 1980,"james,bond,1980",,
James Bond 007 60th edition,James Bond 007 - 60th Anniversary<br>Limited Edition,Stern 2023,"james,bond,60th,stern","dr,no",
James Bond 007 Dr. No,James Bond 007: DR. NO Pro Edition,Stern 2023,"james,bond,dr,no,stern",,
Jaws,JAWS!,Original 2018,,"anniversary",
JAWS 50th Anniversary,JAWS 50th Anniversary,Original 2025,,,
Jayce conquerants lumiere,Jayce et les conquerants de la lumiere,Original 2023,,,
Jessica Rabbit,Jessica Rabbit,Original 2024,"Jessica,Rabbit,Original",,
Jet Spin,Jet Spin,Gottlieb 1977,,,
Jive Time,Jive Time,Williams 1970,,,
Joe Bar Team,Joe Bar Team,Original 2020,,,
John Wick,John Wick - BABAYAGA Pinball edition,Original 2023,,,
Johnny Mnemonic,Johnny Mnemonic,Williams 1995,,,
Joker,Joker,Gottlieb 1950,"Joker,Gottlieb,1950",,
Joker Poker EM,Joker Poker EM,Gottlieb 1978,"Joker,Poker,EM,Gottlieb,1978",,
Joker Poker SS,Joker Poker SS,Gottlieb 1978,"joker,poker",,
Joker Wild,Joker Wild,Bally 1970,"Joker,Wild,Bally,1970",,
Jokerz!,Jokerz!,Williams 1988,jokerz,,
Jolly Park,Jolly Park,Spinball 1996,,,
Jolly Roger,Jolly Roger,Williams 1967,"Jolly,Roger,Williams,1967",,
Joust,Joust,Williams 1983,,,
Jubilee,Jubilee,Williams 1973,"Jubilee,Williams,1973",,
Judas Priest Pinball,Judas Priest Pinball,Original 2019,"Judas,Priest,Pinball,Original,2019",,
Judge Dredd,Judge Dredd,Bally 1993,,,
Jumanji,Jumanji,Original 2023,,,
Jumping Jack,Jumping Jack,Gottlieb 1973,,,JumpingJack_73_2VPX.txt
Jungle,Jungle,Gottlieb 1972,"Jungle,Gottlieb,1972",,Jungle_72VPX.txt
Jungle King,Jungle King,Gottlieb 1973,"Jungle,King,Gottlieb,1973",,JungleKing_73VPX.txt
Jungle Life,Jungle Life,Gottlieb 1972,,,
Jungle Lord,Jungle Lord,Williams 1981,,,
Jungle Princess,Jungle Princess,Gottlieb 1977,"Jungle,Princess,Gottlieb,1977",,
Jungle Queen,Jungle Queen,Gottlieb 1977,"Jungle,Queen,Gottlieb,1977",,
Junk Yard,Junk Yard,Williams 1996,,cats,
Junkyard Cats,Junkyard Cats,Bailey 2012,,williams,
Jurassic Park,Jurassic Park,Data East 1993,,lost,
Kick Off,Kick Off,Bally 1977,"kick,off,bally,1977",,KickOff_77VPX.txt
Kickoff,Kickoff,Williams 1967,"Kickoff,Williams,1967",,
Kidnap,Kidnap,CIC Play 1986,,,
Killer Instinct,KILLER INSTINCT,Original 2024,,,
Killers Hall of Fame,Killers - Hall of Fame,Original 2023,killers,,
Kim Wilde,Kim Wilde,Original 2020,,,
King Kong,King Kong,Data East 1990,,,
King Kool,King Kool,Gottlieb 1972,"King,Kool,Gottlieb,1972",,
King of Diamonds,King of Diamonds,Gottlieb 1967,"King,of,Diamonds,Gottlieb,1967",,KingOfDiamonds_67VPX.txt
King of the Hill,King of the Hill,Original 2025,,,
King Pin,King Pin,Williams 1962,"King,Pin,Williams,1962",kingpin,KingPin_62VPX.txt
King Pin,King Pin,Gottlieb 1973,"King,Pin,Gottlieb,1973",kingpin,KingPin_73VPX.txt
King Rock,King Rock,Gottlieb 1972,,,KingRock_72VPX.txt
King Tut,King Tut,Bally 1969,"King,Tut,Bally,1969","Williams,1979",
King Tut,King Tut,Williams 1979,"King,Tut,Williams,1979",,
Kingdom,Kingdom,J. Esteban 1980,"Kingdom,Esteban",,
Kingpin,Kingpin,Capcom 1996,"Kingpin,Capcom,1996",,
Kings & Queens,Kings & Queens,Gottlieb 1965,"Kings,Queens,Gottlieb,1965",,KingsAndQueens_65VPX.txt
Kings of Steel,Kings of Steel,Bally 1984,"Kings,of,Steel,Bally,1984",,
KISS,KISS,Bally 1979,,"Stern,Scooby,elvira",
KISS,KISS,Stern 2016,,"Bally,Scooby,elvira",
Klondike,Klondike,Williams 1971,,,Klondike1971.txt
Knock Out,Knock Out,Gottlieb 1950,"Knock,Out,Gottlieb,1950",,Knockout_50VPX.txt
Kong vs Godzilla,Kong vs Godzilla,Original 2023,"Kong,Godzilla,Original,2023",,
Krull,Krull,Gottlieb 1983,,,
Kung Fu,Kung Fu,LTD 1975,,,LTDKungFu.txt
Lady Death,Lady Death,Geiger 1983,"Lady,Death,Geiger,1983",,
Lady Luck,Lady Luck,Bally 1986,,,
Lap by Lap,Lap by Lap,Inder 1986,,,
Lariat,Lariat,Gottlieb 1969,"Lariat,Gottlieb,1969",,
Laser Ball,Laser Ball,Williams 1979,,,
Laser Cue,Laser Cue,Williams 1984,,,
Laser War,Laser War,Data East 1987,,,
Last Action Hero,Last Action Hero,Data East 1993,,,
Last Dragon,The Last Dragon,Original 2020,"last,dragon,2020",,
Last Dragon,The Last Dragon,Original 2025,"last,dragon,2025",,
Last Lap,Last Lap,Playmatic 1978,"Last,Lap,Playmatic,1978",,
Last Ninja,The Last Ninja,Original 2018,,,
Last of Us,The Last of Us,Original 2018,,,
Last Starfighter,The Last Starfighter,Original 2019,,,
Lawman,Lawman,Gottlieb 1971,"Lawman,Gottlieb,1971",,
League Champ,League Champ,Williams 1996,,champions,
Lectronamo,Lectronamo,Stern 1978,"Lectronamo,Stern,1978",,
Led Zeppelin,Led Zeppelin,Original 2020,"Led,Zeppelin,Original",mod,LedZeppelin.txt
Led Zeppelin Color,Led Zeppelin - Hauntfreaks Mod,Original 2023,"Led,Zeppelin,Original,mod",,
Legend of Zelda,Legend of Zelda,Original 2015,,,
Lego Pinball,Lego Pinball,Original 2016,"Lego,Pinball,Original,2016",,FarOut_74VPX.txt
Leprechaun King,The Leprechaun King,Original 2019,,,
Lethal Weapon,Lethal Weapon 3,Data East 1992,,,
Liberty Bell,Liberty Bell,Williams 1977,"Liberty,Bell,Williams,1977",,
Lightning,Lightning,Stern 1981,,ball,
Lightning ball,Lightning Ball,Gottlieb 1959,,,LightningBall_59VPX.txt
Lights Camera Action,Lights Camera Action,Premier 1989,,,
Line Drive,Line Drive,Williams 1972,,,
Lion King,Disney's The Lion King,Original 2020,"lion,king",,
Linkin Park,Linkin Park,Original 2020,"Linkin,Park,Original,2020",,
Little Chief,Little Chief,Williams 1975,,,littlechief.txt
Little Joe,Little Joe,Bally 1972,"Little,Joe,Bally,1972",,LittleJoe_71VPX.txt
Loch Ness Monster,Loch Ness Monster,GamePlan 1985,"Loch,Ness,Monster,GamePlan,1985",,
Locomotion,Locomotion,Zaccaria 1981,,,
Lord of the Rings,Lord of the Rings,Stern 2003,"Lord,Rings",valinor,
Lord of the Rings Valinor Edition,Lord of the Rings - Valinor Edition,Stern 2003,"Lord,Rings,Valinor",,
Lortium,Lortium,Juegos Populares 1987,,,
Lost in Space,Lost in Space,Sega 1998,,,
Lost World,Lost World,Bally 1978,,"jurassic,escape",
Lost World Jurassic Park,The Lost World - Jurassic Park,Sega 1997,,,
Love Bug,Love Bug,Williams 1971,"Love,Bug,Williams,1971",,
Luck Smile,Luck Smile,Inder 1976,,,lucksmile4.txt
Lucky Ace,Lucky Ace,Williams 1974,"Lucky,Ace,Williams,1974",,LuckyAce_74VPX.txt
Lucky Hand,Lucky Hand,Gottlieb 1977,"Lucky,Hand,Gottlieb,1977",,
Lucky Luke,Lucky Luke,Gottlieb 1975,,,
Lucky Seven,Lucky Seven,Williams 1978,,,
Lucky Strike,Lucky Strike,Taito Do Brazil,,,
Lunelle,Lunelle,Taito 1982,,,
Mac Galaxy,Mac Galaxy,MAC 1986,,,
Mac Jungle,Mac Jungle,MAC 1987,,,
Machine - Bride of Pinbot,The Machine - Bride of Pinbot,Williams 1991,"machine,bride,pin,bot",,
Mad Max 2 The Road Warrior,Mad Max 2 - The Road Warrior,Original 2019,,,
Mad Race,Mad Race,Playmatic 1985,,,
Mad Scientist,Mad Scientist,Original 2018,,,
Magic,Magic,Stern 1979,"magic,stern,1979","castle,pinball,the",
Magic Castle,Magic Castle,Zaccaria 1984,"magic,castle,zaccaria",,
Magic Circle,Magic Circle,Bally 1965,"Magic,Circle,Bally,1965",,
Magic City,Magic City,Williams 1967,,,MagicCity_67VPX.txt
Magic Clock,Magic Clock,Williams 1960,"Magic,Clock,Williams,1960",,MagicClock_60VPX.txt
Magic The Pinball,Magic: The Pinball,Original 2020,"magic,pinball,the",,
Magnotron,Magnotron,Gottlieb 1974,"Magnotron,Gottlieb,1974",,Magnotron_74VPX.txt
Mandalorian,Mandalorian Re-Theme,Original 2023,mandalorian,stern,
Mandalorian,Mandalorian,Stern 2021,"mandalorian,stern",,
Manowar,Manowar,Original 2019,"Manowar,Original,2019",gottlieb,
Mariner,Mariner,Bally 1971,"Mariner,Bally,1971",,mariner_1971_v2.txt
Mario Andretti,Mario Andretti,Gottlieb 1995,,,
Mars God of War,Mars God of War,Gottlieb 1981,,,
Mars Trek,Mars Trek,Sonic 1977,,,MarsTrek_77VPX.txt
Martian Queen,Martian Queen,LTD do Brasil 1981,,,
Mary Shelley's Frankenstein,Mary Shelley's Frankenstein,Sega 1995,frankenstein,young,
Masquerade,Masquerade,Gottlieb 1966,,,masquerade.txt
Mask,Mask,Original 2023,mask,the,
Mask,The Mask,Original 2019,"the,mask",,
Masters of the Universe,Masters of the Universe,Original 2018,,,
Mata Hari,Mata Hari,Bally 1978,,,
Matrix,The Matrix,Original 2023,,,
Maverick,Maverick,Data East 1994,,,
Medieval Madness,Medieval Madness,Williams 1997,,,
Medusa,Medusa,Bally 1981,,,
Megadeth,Megadeth,Original 2023,,,
Melody,Melody,Gottlieb 1967,"Melody,Gottlieb,1967",,
Memory Lane,Memory Lane,Stern 1978,,,
Mephisto,Mephisto,Cirsa 1987,"Mephisto,Cirsa,1987",,
Merry-Go-Round,Merry Go Round,Gottlieb 1960,"Merry-Go-Round,Gottlieb,1960",,
Metal Man,Metal Man,Inder 1992,,,
Metal Slug,Metal Slug,Original,,,
Metallica,Metallica,Stern 2013,,,
Meteor,Meteor,Taito Do Brazil 1979,,stern,
Meteor,Meteor,Stern 1979,,taito,
Metropolis,Metropolis,Maresa 1982,"Metropolis,Maresa,1982",,metropolis.txt
Metropolis Reborn,Metropolis Reborn,Original 2022,"Metropolis,Reborn,2022",,
Mibs,Mibs,Gottlieb 1969,"Mibs,Gottlieb,1969",,MIBS_69VPX.txt
Michael Jordan,Michael Jordan,Data East 1992,"Michael,Jordan,Data,East,1992",,
Mickey Mouse in Steamboat Willie,Mickey Mouse in Steamboat Willie,Original 2022,"mickey,mouse,steamboat",,
Midnight Magic,Midnight Magic,Atari 1986,"Midnight,Magic,Atari,1986",,
Millionaire,Millionaire,Williams 1978,,,
Minecraft,Minecraft,Original 2020,,,
Mini Cycle,Mini Cycle,Gottlieb 1970,"Mini,Cycle,Gottlieb,1970",,MiniCycle_70VPX.txt
Mini Pool,Mini Pool,Gottlieb 1969,"Mini,Pool,Gottlieb,1969",,MiniPool_69VPX.txt
Minions,Minions,Original 2017,,,
Miraculous,Miraculous,Original 2019,,,
Misfits,Misfits,Original 2019,,,
Miss World,Miss World,Geiger 1982,,,
Miss-O,Miss-O,Williams 1969,"Miss-O,Williams,1969",,
Missing In Action Chuck Norris,Missing In Action - Chuck Norris,Original 2018,,,
Mississippi,Mississippi,Recreativos Franco 1973,"Mississippi,Recreativos,Franco,1973",,Mississipi.txt
Mobile Suit Gundam,Mobile Suit Gundam,Original 2024,,,
Monaco,Monaco,Segasa 1977,,,Monaco_77VPX.txt
Monday Night Football,Monday Night Football,Data East 1989,,,
Monkey Island,Monkey Island,Original 2016,,,
Monopoly,Monopoly,Stern 2001,,"wow,warcraft",
Monopoly Warcraft,Monopoly Warcraft,Original 2024,"Monopoly,Warcraft,2024",,
Monster Bash,Monster Bash,Williams 1998,,,
Monte Carlo,Monte Carlo,Gottlieb 1987,,,
Moon Light,Moon Light,Inder 1987,"Moon,Light,Inder,1987",,
Mopar Madness,Mopar Madness,Original 2015,,,
Mortal Kombat II,Mortal Kombat II,Original 2016,,,
Motor Show,Motor Show,Mr. Game 1989,,,
Motordome,Motordome,Bally 1986,,,
motörhead,Motörhead,Original 2018,,motorhead,
Motorhead,Motörhead,Original 2018,,motörhead,
Moulin Rouge,Moulin Rouge,Williams 1965,,,moulinrouge.txt
Mousin Around,Mousin' Around,Bally 1989,"mousin,around",,
MF Doom,MF Doom,Original 2022,,"classic,2019,recel",
Mr Mrs Pac-Man,Mr. & Mrs. Pac-Man,Bally 1982,,,
Mr Black,Mr. Black,Taito 1984,"mr,black,taito",,
Mr Doom,Mr. Doom,Recel 1979,"mr,doom,recel",,
Mr Evil,Mr. Evil,Recel 1979,"Mr,Evil,Recel,1979",,
Mundial 90,Mundial 90,Inder 1990,"Mundial,90,Inder,1990",,
Munsters,The Munsters,Original,,,
