name,display,manufactor,needed,forbidden,highscore
Bad Cats,Bad Cats,Williams 1989,,,
Bad Girls,Bad Girls,Gottlieb 1988,"Bad,Girls",Alternate,
Bad Girls Alternate,Bad Girls Alternate,Original 2024,,,
Bad Santa,Bad Santa,Original 2018,,,
Balls-A-Poppin,Balls-A-Poppin,Bally 1956,"Balls,Poppin,Bally,1956",,BallsAPoppin_56VPX.txt
Bally Game Show,The Bally Game Show,Bally 1990,,,
Bally Hoo,Bally Hoo,Bally 1969,"Bally,Hoo,1969",,Bally_Hoo_69.txt
Ballyhoo,Ballyhoo,Bally 1932,"Bally,hoo,1932",,
Band Wagon,Band Wagon,Bally 1965,"Band,Wagon,Bally,1965",,
Bank A Ball,Bank A Ball,Gottlieb 1965,,,BankABall_65VPX.txt
Bank Shot,Bank Shot,Gottlieb 1976,"Bank,Shot,Gottlieb,1976",,
Banzai Run,Banzai Run,Williams 1988,,,
Barb Wire,Barb Wire,Gottlieb 1996,,,
Barbarella,Barbarella,Automaticos 1967,"Barbarella,Automaticos,1967",,Barbarella_72VPX.txt
Barracora,Barracora,Williams 1981,,,
Baseball,Baseball,Gottlieb 1970,"Baseball,Gottlieb,1970",,Baseball_70VPX.txt
Basketball,Basketball,IDSA 1986,"Basketball,IDSA",,
Batman,Batman,Data East 1991,batman,"66,forever,returns,animated,knight",
Batman 66 tribute,Batman 66 - Tribute Version,Original 2018,"batman,66",stern,
Batman 66,Batman 66,Stern 2016,"batman,66,stern",,
Batman Forever,Batman Forever,Sega 1995,"batman,forever",,
Batman Returns,Batman Returns,Original 2018,"batman,returns",,
Batman The Animated Series,Batman - The Animated Series,Original 2020,"batman,animated",,
Batman the Dark Knight,Batman - The Dark Knight,Stern 2008,"batman,knight",,
Batter Up,Batter Up,Gottlieb 1970,,,
Battlestar Galactica,Battlestar Galactica,Williams 1980,,,
Baywatch,Baywatch,Sega 1995,,,
Beach Bums,Beach Bums,Original 2018,,,
Beastie Boys,Beastie Boys,Original 2025,,,
Beat the Clock,Beat the clock,Bally 1985,,,
Beat Time,Beat Time,Williams 1967,,,BeatTime_67VPX.txt
Beatles,The Beatles,Stern 2012,,,
Beavis Butt head,Beavis and Butt-head: Pinballed,Original 2024,,2023,
Beavis Butt head,Beavis and Butt-head: Pinball Stupidity,Original 2023,,2024,
Beetlejuice,Beetlejuice,Original 2023,,,
Bell Ringer,Bell Ringer,Gottlieb 1990,"Bell,Ringer,Gottlieb,1990",,
Ben Hur,Ben Hur,Staal 1977,"ben,hur,1977",,BenHur_77VPX.txt
Berzerk,Berzerk,Original 2016,,,
Beverly Hills Cop,Beverly Hills Cop,Original 2019,,,
Big Bang Bar,Big Bang Bar,Capcom 1996,,,
Big Ben,Big Ben,Williams 1975,,,bigben.txt
Big Brave,Big Brave,Gottlieb 1974,"Big,Brave,Gottlieb,1974",,BigBrave_74VPX.txt
Big Brave,Big Brave,Maresa 1974,"Big,Brave,Maresa,1974",,
Big Buck Hunter Pro,Big Buck Hunter Pro,Stern 2010,"big,buck,hunter",,
Big Casino,Big Casino,Gottlieb 1961,"Big,Casino,Gottlieb,1961",,BigCasino_61VPX.txt
Big Chief,Big Chief,Williams 1965,"Big,Chief,Williams,1965",,BigChief_65VPX.txt
Big Deal,Big Deal,Williams 1963,"Big,Deal,Williams,1963",,BigDeal_63VPX.txt
Big Deal,Big Deal,Williams 1977,"Big,Deal,Williams,1977",,BigDeal_77VPX.txt
Big Game,Big Game,Stern 1980,,,
Big Guns,Big Guns,Williams 1987,,,
Big Hit,Big Hit,Gottlieb 1977,"Big,Hit,Gottlieb,1977",,
Big Horse,Big Horse,Maresa 1975,"Big,Horse,Maresa,1975",,bighorse.txt
Big House,Big House,Gottlieb 1989,"Big,House,Gottlieb",,
Big Hurt,Big Hurt,Premier 1995,"Big,Hurt,Premier,1995",,
Big Indian,Big Indian,Gottlieb 1974,,,
Big Lebowski,The Big Lebowski,Original 2025,,,
Big Shot,Big Shot,Gottlieb 1974,,,
Big Show,Big Show,Bally 1974,"Big,Show,Bally,1974",,
Big Star,Big Star,Williams 1972,"Big,Star,Williams,1972",,
Big Town,Big Town,Playmatic 1978,"Big Town,Playmatic,1978",,
Big Trouble in Little China,Big Trouble In Little China,Original 2023,"big,trouble,china",,
Big Valley,Big Valley,Bally 1970,"Big,Valley,Bally,1970",,BigValley_70VPX.txt
Billie Eilish,Billie Eilish,Original 2024,,,
Black and Red,Black & Red,Inder 1975,"black,red,inder",,BlackRed.txt
